"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18092;3;"18092X3";"K0001";"5688947";8040;1440;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688948";1480;520;0;960;260;1140;0
18092;2;"18092X2";"K0001";"5688949";0;1120;0;360;1120;2240;0
18092;17;"18092X17";"K0001";"5688950";2080;2440;0;950;134;1120;0
18092;17;"18092X17";"K0001";"5688951";10520;0;2180;950;1120;134;0
18092;5;"18092X5";"K0001";"5688952";8940;1200;1200;745;1200;1140;0
18092;17;"18092X17";"K0001";"5688953";9570;0;2180;950;1120;134;0
18092;2;"18092X2";"K0001";"5688954";0;0;0;360;1120;2240;0
18092;17;"18092X17";"K0001";"5688955";1480;260;0;960;260;1140;0
18092;17;"18092X17";"K0001";"5688956";1480;0;0;960;260;1140;0
18092;17;"18092X17";"K0001";"5688957";8620;0;2180;950;1120;134;0
18092;17;"18092X17";"K0001";"5688958";7670;0;2180;950;1120;134;0
18092;3;"18092X3";"K0001";"5688959";8040;300;0;300;1140;1550;0
18092;1;"18092X1";"K0001";"5688960";11400;1480;0;360;1120;2240;0
18092;5;"18092X5";"K0001";"5688961";8940;0;1200;745;1200;1140;0
18092;1;"18092X1";"K0001";"5688962";11400;360;0;360;1120;2240;0
18092;5;"18092X5";"K0001";"5688963";8940;1140;0;745;1140;1200;0
18092;17;"18092X17";"K0001";"5688964";4180;1300;1740;950;1120;134;0
18092;1;"18092X1";"K0001";"5688965";11040;1480;0;360;1120;2240;0
18092;17;"18092X17";"K0001";"5688966";1220;1920;0;960;260;1140;0
18092;1;"18092X1";"K0001";"5688967";11040;360;0;360;1120;2240;0
18092;17;"18092X17";"K0001";"5688968";1220;0;1400;960;1140;260;0
18092;1;"18092X1";"K0001";"5688969";9920;360;1800;1120;2240;360;0
18092;1;"18092X1";"K0001";"5688970";9920;360;1440;1120;2240;360;0
18092;17;"18092X17";"K0001";"5688971";1220;0;1140;960;1140;260;0
18092;5;"18092X5";"K0001";"5688972";8940;0;0;745;1140;1200;0
18092;1;"18092X1";"K0001";"5688973";9920;360;1080;1120;2240;360;0
18092;3;"18092X3";"K0001";"5688974";7740;1440;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688975";1220;960;0;260;960;1140;0
18092;1;"18092X1";"K0001";"5688976";9920;360;720;1120;2240;360;0
18092;1;"18092X1";"K0001";"5688977";9920;360;360;1120;2240;360;0
18092;3;"18092X3";"K0001";"5688978";7740;300;0;300;1140;1550;0
18092;1;"18092X1";"K0001";"5688979";9920;360;0;1120;2240;360;0
18092;13;"18092X13";"K0001";"5688980";11740;950;0;280;1140;950;0
18092;1;"18092X1";"K0001";"5688981";9560;360;1120;360;2240;1120;0
18092;3;"18092X3";"K0001";"5688982";7440;1440;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5688983";11460;950;0;280;1140;950;0
18092;3;"18092X3";"K0001";"5688984";7440;300;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688985";1220;0;0;260;960;1140;0
18092;1;"18092X1";"K0001";"5688986";9560;360;0;360;2240;1120;0
18092;12;"18092X12";"K0001";"5688987";1250;0;1140;950;300;1140;0
18092;3;"18092X3";"K0001";"5688988";7140;1440;0;300;1140;1550;0
18092;1;"18092X1";"K0001";"5688989";10680;0;0;1120;360;2240;0
18092;3;"18092X3";"K0001";"5688990";7140;300;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688991";6840;1440;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5688992";11740;0;1140;280;950;1140;0
18092;3;"18092X3";"K0001";"5688993";6840;300;0;300;1140;1550;0
18092;1;"18092X1";"K0001";"5688994";9560;0;0;1120;360;2240;0
18092;13;"18092X13";"K0001";"5688995";11460;0;1140;280;950;1140;0
18092;12;"18092X12";"K0001";"5688996";11700;1200;0;300;950;1140;0
18092;3;"18092X3";"K0001";"5688997";6540;1440;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5688998";11740;0;0;280;950;1140;0
18092;3;"18092X3";"K0001";"5688999";6540;300;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5689000";11460;0;0;280;950;1140;0
18092;13;"18092X13";"K0001";"5689001";10510;0;840;950;280;1140;0
18092;1;"18092X1";"K0001";"5689002";8440;0;1800;1120;2240;360;0
18092;3;"18092X3";"K0001";"5689003";6240;1440;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5689004";10510;1140;560;950;1140;280;0
18092;1;"18092X1";"K0001";"5689005";8440;0;1440;1120;2240;360;0
18092;13;"18092X13";"K0001";"5689006";10510;0;560;950;1140;280;0
18092;17;"18092X17";"K0001";"5689007";260;0;2080;1140;960;260;0
18092;3;"18092X3";"K0001";"5689008";6240;300;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5689009";260;0;1820;1140;960;260;0
18092;1;"18092X1";"K0001";"5689010";8440;0;1080;1120;2240;360;0
18092;17;"18092X17";"K0001";"5689011";3400;1120;2180;1120;950;134;0
18092;17;"18092X17";"K0001";"5689012";260;1660;0;960;260;1140;0
18092;5;"18092X5";"K0001";"5689013";8195;1200;1200;745;1200;1140;0
18092;17;"18092X17";"K0001";"5689014";6720;0;2180;950;1120;134;0
18092;17;"18092X17";"K0001";"5689015";3400;0;2180;950;1120;134;0
18092;10;"18092X10";"K0001";"5689016";3960;1120;0;1140;1200;560;0
18092;5;"18092X5";"K0001";"5689017";8195;0;1200;745;1200;1140;0
18092;10;"18092X10";"K0001";"5689018";2820;1120;0;1140;1200;560;0
18092;13;"18092X13";"K0001";"5689019";10510;1140;280;950;1140;280;0
18092;17;"18092X17";"K0001";"5689020";260;1400;0;960;260;1140;0
18092;1;"18092X1";"K0001";"5689021";8440;0;720;1120;2240;360;0
18092;13;"18092X13";"K0001";"5689022";10510;0;280;950;1140;280;0
18092;13;"18092X13";"K0001";"5689023";10510;1140;0;950;1140;280;0
18092;3;"18092X3";"K0001";"5689024";5940;1440;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5689025";260;1140;1660;1140;960;260;0
18092;3;"18092X3";"K0001";"5689026";5940;300;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5689027";10510;0;0;950;1140;280;0
